,Country,Year,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
0,Cayman Islands,2019,141.64,74.4,109.49,157.93,105.03,137.88
1,Bermuda,2019,138.22,87.62,114.03,124.87,150.4,79.87
2,Switzerland,2019,122.67,50.22,88.03,121.29,124.04,127.76
3,Norway,2019,104.49,37.26,72.34,93.94,115.59,98.0
4,Us Virgin Islands,2019,97.23,48.24,73.81,87.42,90.74,54.58
5,Iceland,2019,97.22,45.08,72.29,84.63,111.46,92.03
6,Bahamas,2019,85.96,35.4,61.79,68.84,87.2,56.21
7,Japan,2019,85.52,28.08,58.06,84.69,50.05,97.57
8,Luxembourg,2019,84.68,55.44,70.7,71.6,92.91,107.89
9,Denmark,2019,83.88,33.73,59.9,64.02,100.63,110.69
10,Barbados,2019,80.32,20.0,51.48,72.75,72.61,56.97
11,Singapore,2019,80.23,61.99,71.51,68.28,55.41,88.84
12,Israel,2019,79.54,31.49,56.56,64.86,88.75,85.96
13,Hong Kong,2019,79.21,79.72,79.46,79.4,55.62,66.79
14,Ireland,2019,76.33,43.94,60.85,58.83,84.08,90.8
15,Netherlands,2019,75.22,35.29,56.13,58.1,82.9,98.04
16,South Korea,2019,75.16,20.87,49.2,87.23,43.27,99.13
17,France,2019,74.62,26.1,51.42,67.42,75.09,87.7
18,Australia,2019,73.39,35.35,55.2,67.38,72.23,118.09
19,Belgium,2019,73.13,26.05,50.62,60.46,82.53,93.17
20,New Zealand,2019,73.01,31.44,53.13,65.05,69.93,97.59
21,Seychelles,2019,72.75,32.79,53.64,65.46,87.37,21.52
22,Finland,2019,72.18,26.31,50.25,58.18,79.39,108.78
23,Austria,2019,72.15,27.84,50.96,64.81,71.81,89.88
24,United States,2019,70.95,40.5,56.39,67.1,70.76,119.1
25,Sweden,2019,70.11,25.65,48.85,61.18,72.14,112.75
26,Italy,2019,69.02,21.6,46.35,57.45,74.72,73.43
27,Canada,2019,68.16,30.28,50.04,64.99,63.25,105.01
