,Country,Year,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
37,United Arab Emirates,2021,58.94,39.21,49.81,47.43,59.57,84.93
38,Greece,2021,58.38,13.3,37.52,46.17,54.53,35.95
39,Bahrain,2021,57.16,30.23,44.7,45.96,51.99,52.68
40,Palestine,2021,56.92,10.68,35.52,50.3,41.79,35.98
41,Spain,2021,56.64,23.19,41.16,47.36,56.63,58.5
42,Slovenia,2021,56.4,18.7,38.96,49.16,46.99,52.08
43,Cuba,2021,55.46,16.22,37.31,47.74,35.24,1.28
44,Croatia,2021,55.18,14.5,36.36,48.44,46.86,39.83
45,Trinidad And Tobago,2021,54.78,16.96,37.28,53.37,53.78,34.85
46,Estonia,2021,53.77,15.89,36.24,42.3,53.02,56.58
47,Libya,2021,53.59,13.95,35.25,61.02,36.28,27.83
48,Panama,2021,53.03,23.24,39.25,53.22,45.57,28.91
49,Jamaica,2021,51.75,17.42,35.87,54.27,34.69,28.01
50,Senegal,2021,51.54,22.22,37.97,44.63,37.88,21.87
51,Yemen,2021,51.41,6.77,30.75,63.48,23.46,12.81
52,Ivory Coast,2021,50.95,22.05,37.58,43.21,33.81,5.65
53,Jordan,2021,50.91,9.97,31.97,41.91,42.02,27.95
54,Belize,2021,50.91,11.65,32.74,47.64,36.47,42.38
55,Portugal,2021,50.65,21.97,37.38,40.87,42.54,40.54
56,Uruguay,2021,50.55,14.15,33.7,41.8,48.43,27.43
57,Latvia,2021,50.41,12.9,33.06,39.48,45.62,43.49
58,Suriname,2021,50.05,10.09,31.56,48.44,62.23,14.55
59,Guyana,2021,49.7,8.82,30.78,52.37,44.43,15.87
60,Oman,2021,49.64,17.86,34.93,46.9,43.04,74.87
61,Saudi Arabia,2021,49.6,12.51,32.44,41.94,33.84,80.11
62,Kuwait,2021,49.14,32.78,41.57,36.21,48.15,70.51
63,Ethiopia,2021,48.89,16.36,33.84,36.01,18.2,9.03
64,Chile,2021,48.6,15.01,33.06,41.64,47.86,29.43
65,Costa Rica,2021,48.53,15.66,33.32,46.35,42.77,34.7
66,Czech Republic,2021,48.2,18.79,34.59,42.57,35.41,54.8
67,Cambodia,2021,47.44,15.13,32.49,48.28,23.12,10.16
68,Zimbabwe,2021,47.35,9.47,29.82,40.57,37.47,17.01
69,Slovakia,2021,47.32,17.51,33.53,41.92,37.8,45.65
70,Mauritius,2021,47.13,12.05,30.9,49.5,34.7,24.57
71,Lithuania,2021,46.04,14.75,31.56,35.98,45.37,52.8
72,Venezuela,2021,45.96,10.89,29.73,37.69,48.14,13.39
73,Fiji,2021,44.93,17.9,32.42,49.74,38.02,29.4
74,Thailand,2021,44.76,15.27,31.11,45.99,23.47,28.87
75,Guatemala,2021,44.39,16.19,31.34,42.39,33.34,22.17
76,South Africa,2021,44.21,18.25,32.19,37.08,39.95,69.15
77,El Salvador,2021,44.01,14.12,30.18,42.68,36.14,19.21
78,Hungary,2021,42.26,12.79,28.62,35.8,34.48,47.41
79,Nicaragua,2021,41.81,8.68,26.48,40.68,29.92,15.2
80,Dominican Republic,2021,41.79,10.15,27.15,37.66,34.55,18.8
81,Poland,2021,41.75,19.39,31.4,34.11,35.1,43.61
82,Botswana,2021,41.7,10.73,27.37,35.71,46.73,48.96
83,China,2021,41.31,16.67,29.91,45.2,27.47,53.62
84,Honduras,2021,41.29,10.71,27.14,35.34,29.13,28.72
85,Cameroon,2021,40.85,7.65,25.49,41.51,24.26,14.07
86,Iran,2021,40.64,16.73,29.58,35.06,24.37,16.82
87,Montenegro,2021,39.81,12.02,26.95,31.81,32.37,33.1
88,Philippines,2021,39.11,10.41,25.83,38.41,21.72,18.0
89,Ecuador,2021,38.79,12.07,26.42,36.03,28.66,27.1
90,Bulgaria,2021,38.67,9.56,25.2,34.25,30.59,39.49
91,Ghana,2021,38.53,21.08,30.46,38.73,31.85,16.85
92,Albania,2021,37.73,8.6,24.25,30.88,28.08,25.59
93,Serbia,2021,37.62,9.75,24.73,28.83,30.62,34.16
94,Malaysia,2021,37.52,10.44,24.99,39.02,21.25,50.11
95,Bosnia And Herzegovina,2021,36.95,7.32,23.24,31.17,25.48,38.94
96,Vietnam,2021,36.94,13.94,26.29,37.87,19.18,25.29
97,Romania,2021,36.77,10.91,24.8,32.45,31.54,41.89
98,Russia,2021,36.76,15.3,26.83,30.79,37.17,35.53
99,Mexico,2021,36.74,14.45,26.43,35.04,33.72,31.3
100,Brazil,2021,36.06,9.24,23.65,30.08,27.7,25.13
101,Myanmar,2021,36.04,20.41,28.8,37.24,19.76,12.73
102,Iraq,2021,36.02,11.33,24.59,31.56,29.08,35.9
103,Indonesia,2021,35.95,9.94,23.91,38.01,17.7,19.01
104,Kenya,2021,35.82,10.0,23.87,32.77,30.37,25.37
105,Morocco,2021,35.58,9.87,23.68,32.13,25.69,29.77
106,Argentina,2021,35.33,8.31,22.83,28.34,34.18,27.68
107,Bolivia,2021,35.15,11.28,24.1,31.23,25.42,33.39
108,Somalia,2021,34.5,5.8,21.22,39.28,26.91,26.16
109,Mongolia,2021,33.73,10.07,22.78,35.16,22.96,24.34
110,Rwanda,2021,33.57,15.77,25.34,28.59,29.37,22.78
111,Tanzania,2021,33.48,13.43,24.2,30.16,25.33,14.97
112,Armenia,2021,33.22,11.61,23.22,26.52,29.65,24.23
113,Peru,2021,33.01,11.27,22.95,31.12,21.77,26.13
114,Bangladesh,2021,33.01,4.76,19.94,30.77,21.22,21.76
115,Zambia,2021,32.94,8.5,21.63,30.85,21.95,41.19
116,Uganda,2021,32.8,8.08,21.36,29.92,24.08,11.56
117,North Macedonia,2021,32.76,6.69,20.7,27.64,22.01,29.92
118,Turkey,2021,31.74,7.42,20.49,26.96,22.41,31.27
119,Belarus,2021,31.58,10.21,21.69,27.12,32.46,29.87
120,Ukraine,2021,31.2,11.57,22.12,26.5,25.35,30.28
121,Moldova,2021,30.72,8.93,20.64,24.48,27.29,29.44
122,Paraguay,2021,30.72,10.68,21.45,24.92,24.87,24.14
123,Sri Lanka,2021,30.41,8.4,20.23,35.83,16.06,18.43
124,Azerbaijan,2021,30.04,8.85,20.23,25.9,28.71,23.1
125,Nigeria,2021,29.63,33.87,31.59,32.45,18.78,8.79
126,Kazakhstan,2021,29.58,9.63,20.35,25.71,27.64,31.62
127,Egypt,2021,29.14,5.98,18.43,26.26,23.84,18.54
128,Tunisia,2021,28.77,5.82,18.15,28.05,16.85,25.42
129,Georgia,2021,28.58,9.64,19.81,25.19,24.83,25.16
130,Colombia,2021,28.12,8.61,19.09,24.1,20.37,25.34
131,Syria,2021,28.05,5.96,17.83,27.75,23.4,6.84
132,Nepal,2021,27.86,4.4,17.01,25.96,19.91,20.0
133,Algeria,2021,27.84,5.14,17.34,28.93,14.95,22.49
134,Kosovo (Disputed Territory),2021,27.83,8.76,19.0,25.29,20.92,39.05
135,Afghanistan,2021,27.64,3.64,16.54,19.02,16.34,20.53
136,Uzbekistan,2021,27.1,9.64,19.02,27.06,21.87,19.48
137,India,2021,24.6,5.67,15.84,26.08,18.14,42.16
138,Pakistan,2021,21.88,4.57,13.87,19.71,16.89,24.56
